fourletter_code,english_name,scientific_name
YEGR,Yellow Grosbeak,Pheucticus chrysopeplus
YERA,Yellow Rail,Coturnicops noveboracensis
YETY,Yellow Tyrannulet,Capsiempis flaveola
YEWA,Yellow Warbler,Setophaga petechia
YBOR,Yellow-backed Oriole,Icterus chrysater
YBTA,Yellow-backed Tanager,Hemithraupis flavicollis
YBEL,Yellow-bellied Elaenia,Elaenia flavogaster
YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris
YBSA,Yellow-bellied Sapsucker,Sphyrapicus varius
YBSE,Yellow-bellied Seedeater,Sporophila nigricollis
YBSI,Yellow-bellied Siskin,Spinus xanthogastrus
